127.0.0.1 - - [23/Nov/2021:20:00:26 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:27 +0900] "GET /partycode/WEB-INF/views/users/updateprofile.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:27 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:30 +0900] "GET /partycode/ HTTP/1.1" 200 9605
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:30 +0900] "GET /partycode/resources/js/jqueryIMPORTANT.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:30 +0900] "GET /partycode/resources/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:30 +0900] "GET /partycode/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:30 +0900] "GET /partycode/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:30 +0900] "GET /partycode/resources/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:30 +0900] "GET /partycode/resources/css/main2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:30 +0900] "GET /partycode/resources/js/main2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:32 +0900] "GET /partycode/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:32 +0900] "GET /partycode/resources/css/party_board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/now.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/partyboard/party_board HTTP/1.1" 200 40679
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/like3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/%ED%8F%AC%EC%9D%B8%ED%8A%B8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/white_plus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/white_review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/ibt_w.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/white_profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/white_point.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/unnamed.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/white_home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/white_search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/%ED%9D%91%EB%B0%B12.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/%ED%9D%91%EB%B0%B1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/partyboard/display/202111/f22d58ca3ad749d1ab7935b80dfc1d74.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/partyboard/display/202111/477e3fcd1fd24a59ac285249d6415e33.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/partyboard/display/202111/a980dbf651414035bc96fb34156d0fb7.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/partyboard/display/202111/86c0f8d19d52407a91c0adab5477c07a.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/partyboard/display/202111/3a3f051a60be4f56bf10fde117c74387.png HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/partyboard/display/202111/18086d7a0c9c45e2b7dc255ed38f00d6.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/partyboard/display/202111/0fa95ac5942f45fb9661cd8986eda315.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/partyboard/display/202111/c3483feaa5f243059a454b67763cd13f.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/partyboard/display/202111/6c0945d5145b4c9498cad902e1d1f86d.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/white_qna.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/partyboard/display/202111/069bc7995afe4b40b64527a5b05a822f.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/partyboard/display/202111/e98554f897e142b191b09ab477536d5e.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/partyboard/display/202111/cb299ef52abf41219b5ce820bfb655c8.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/soldout.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/admin_person.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:20:00:33 +0900] "GET /partycode/resources/img/heart2.png HTTP/1.1" 304 -
